Freq(Hz), SPL(dB), Phase(degrees)
242.432, 64.323, -49.862
242.798, 64.312, -49.868
243.164, 64.302, -49.874
243.530, 64.292, -49.879
243.896, 64.282, -49.884
244.263, 64.272, -49.888
244.629, 64.262, -49.893
244.995, 64.253, -49.897
245.361, 64.243, -49.903
245.728, 64.233, -49.910
246.094, 64.223, -49.917
246.460, 64.213, -49.923
246.826, 64.203, -49.927
247.192, 64.193, -49.931
247.559, 64.183, -49.935
247.925, 64.174, -49.940
248.291, 64.164, -49.946
248.657, 64.154, -49.952
249.023, 64.144, -49.958
249.390, 64.134, -49.961
249.756, 64.124, -49.962
250.122, 64.114, -49.964
250.488, 64.105, -49.967
250.854, 64.096, -49.972
251.221, 64.086, -49.978
251.587, 64.077, -49.984
251.953, 64.067, -49.989
252.319, 64.057, -49.993
252.686, 64.048, -49.997
253.052, 64.039, -50.001
253.418, 64.029, -50.006
253.784, 64.019, -50.011
254.150, 64.010, -50.015
254.517, 64.000, -50.019
254.883, 63.991, -50.022
255.249, 63.981, -50.025
255.615, 63.972, -50.029
255.981, 63.963, -50.032
256.348, 63.953, -50.036
256.714, 63.944, -50.039
257.080, 63.935, -50.042
257.446, 63.925, -50.046
257.812, 63.916, -50.049
258.179, 63.907, -50.053
258.545, 63.897, -50.055
258.911, 63.888, -50.058
259.277, 63.879, -50.061
259.644, 63.870, -50.064
260.010, 63.860, -50.067
260.376, 63.851, -50.070
260.742, 63.842, -50.073
261.108, 63.833, -50.075
261.475, 63.824, -50.078
261.841, 63.815, -50.080
262.207, 63.806, -50.083
262.573, 63.796, -50.087
262.939, 63.787, -50.090
263.306, 63.778, -50.093
263.672, 63.769, -50.095
264.038, 63.760, -50.097
264.404, 63.751, -50.099
264.771, 63.742, -50.101
265.137, 63.733, -50.103
265.503, 63.724, -50.105
265.869, 63.715, -50.108
266.235, 63.706, -50.110
266.602, 63.697, -50.112
266.968, 63.688, -50.113
267.334, 63.679, -50.115
267.700, 63.671, -50.117
268.066, 63.662, -50.119
268.433, 63.653, -50.120
268.799, 63.644, -50.122
269.165, 63.635, -50.124
269.531, 63.627, -50.126
269.897, 63.618, -50.127
270.264, 63.609, -50.129
270.630, 63.601, -50.131
270.996, 63.592, -50.133
271.362, 63.583, -50.135
271.729, 63.574, -50.136
272.095, 63.566, -50.138
272.461, 63.557, -50.139
272.827, 63.548, -50.140
273.193, 63.540, -50.141
273.560, 63.531, -50.142
273.926, 63.522, -50.143
274.292, 63.514, -50.144
274.658, 63.505, -50.145
275.024, 63.497, -50.146
275.391, 63.488, -50.147
275.757, 63.480, -50.148
276.123, 63.471, -50.149
276.489, 63.463, -50.150
276.855, 63.454, -50.151
277.222, 63.446, -50.152
277.588, 63.437, -50.153
277.954, 63.429, -50.154
278.320, 63.420, -50.155
278.687, 63.412, -50.156
279.053, 63.404, -50.156
279.419, 63.395, -50.156
279.785, 63.387, -50.156
280.151, 63.379, -50.157
280.518, 63.370, -50.158
280.884, 63.362, -50.159
281.250, 63.354, -50.160
281.616, 63.345, -50.160
281.982, 63.337, -50.160
282.349, 63.329, -50.160
282.715, 63.320, -50.159
283.081, 63.312, -50.158
283.447, 63.304, -50.158
283.813, 63.296, -50.158
284.180, 63.288, -50.158
284.546, 63.280, -50.159
284.912, 63.272, -50.159
285.278, 63.263, -50.159
285.645, 63.255, -50.159
286.011, 63.247, -50.159
286.377, 63.239, -50.158
286.743, 63.231, -50.158
287.109, 63.223, -50.158
287.476, 63.215, -50.158
287.842, 63.207, -50.159
288.208, 63.199, -50.159
288.574, 63.191, -50.158
288.940, 63.183, -50.158
289.307, 63.175, -50.157
289.673, 63.167, -50.157
290.039, 63.159, -50.156
290.405, 63.151, -50.156
290.771, 63.143, -50.155
291.138, 63.135, -50.155
291.504, 63.127, -50.154
291.870, 63.119, -50.154
292.236, 63.112, -50.154
292.603, 63.104, -50.153
292.969, 63.096, -50.152
293.335, 63.088, -50.151
293.701, 63.080, -50.150
294.067, 63.072, -50.150
294.434, 63.064, -50.148
294.800, 63.056, -50.146
295.166, 63.048, -50.144
295.532, 63.041, -50.142
295.898, 63.033, -50.142
296.265, 63.026, -50.143
296.631, 63.018, -50.144
296.997, 63.010, -50.143
297.363, 63.002, -50.141
297.729, 62.995, -50.140
298.096, 62.987, -50.141
298.462, 62.980, -50.144
298.828, 62.972, -50.148
299.194, 62.963, -50.149
299.561, 62.955, -50.145
299.927, 62.946, -50.138
300.293, 62.939, -50.130
300.659, 62.932, -50.125
301.025, 62.926, -50.124
301.392, 62.919, -50.125
301.758, 62.911, -50.127
302.124, 62.904, -50.127
302.490, 62.896, -50.125
302.856, 62.888, -50.122
303.223, 62.881, -50.120
303.589, 62.874, -50.119
303.955, 62.867, -50.119
304.321, 62.859, -50.117
304.688, 62.851, -50.115
305.054, 62.844, -50.112
305.420, 62.837, -50.109
305.786, 62.830, -50.107
306.152, 62.822, -50.106
306.519, 62.815, -50.105
306.885, 62.807, -50.104
307.251, 62.800, -50.102
307.617, 62.792, -50.099
307.983, 62.785, -50.097
308.350, 62.778, -50.095
308.716, 62.771, -50.093
309.082, 62.763, -50.091
309.448, 62.756, -50.090
309.814, 62.749, -50.088
310.181, 62.741, -50.086
310.547, 62.734, -50.084
310.913, 62.727, -50.082
311.279, 62.720, -50.080
311.646, 62.713, -50.078
312.012, 62.706, -50.077
312.378, 62.698, -50.075
312.744, 62.691, -50.073
313.110, 62.684, -50.070
313.477, 62.677, -50.068
313.843, 62.670, -50.065
314.209, 62.663, -50.063
314.575, 62.656, -50.060
314.941, 62.649, -50.057
315.308, 62.642, -50.055
315.674, 62.635, -50.052
316.040, 62.628, -50.050
316.406, 62.621, -50.048
316.772, 62.614, -50.046
317.139, 62.607, -50.043
317.505, 62.600, -50.041
317.871, 62.593, -50.039
318.237, 62.586, -50.037
318.604, 62.579, -50.035
318.970, 62.571, -50.033
319.336, 62.564, -50.030
319.702, 62.557, -50.027
320.068, 62.551, -50.024
320.435, 62.544, -50.021
320.801, 62.537, -50.019
321.167, 62.530, -50.017
321.533, 62.523, -50.014
321.899, 62.516, -50.011
322.266, 62.510, -50.008
322.632, 62.503, -50.005
322.998, 62.496, -50.003
323.364, 62.489, -50.001
323.730, 62.482, -49.999
324.097, 62.476, -49.997
324.463, 62.469, -49.994
324.829, 62.462, -49.990
325.195, 62.455, -49.987
325.562, 62.448, -49.984
325.928, 62.442, -49.981
326.294, 62.435, -49.978
326.660, 62.428, -49.975
327.026, 62.422, -49.972
327.393, 62.415, -49.969
327.759, 62.408, -49.967
328.125, 62.401, -49.964
328.491, 62.395, -49.961
328.857, 62.388, -49.958
329.224, 62.381, -49.955
329.590, 62.375, -49.953
329.956, 62.368, -49.950
330.322, 62.361, -49.947
330.688, 62.355, -49.943
331.055, 62.348, -49.940
331.421, 62.342, -49.936
331.787, 62.335, -49.933
332.153, 62.329, -49.930
332.520, 62.322, -49.927
332.886, 62.316, -49.925
333.252, 62.309, -49.921
333.618, 62.303, -49.918
333.984, 62.296, -49.914
334.351, 62.290, -49.911
334.717, 62.283, -49.908
335.083, 62.277, -49.904
335.449, 62.270, -49.901
335.815, 62.264, -49.897
336.182, 62.257, -49.893
336.548, 62.251, -49.890
336.914, 62.245, -49.887
337.280, 62.238, -49.884
337.646, 62.232, -49.881
338.013, 62.225, -49.878
338.379, 62.219, -49.875
338.745, 62.213, -49.871
339.111, 62.206, -49.868
339.478, 62.200, -49.864
339.844, 62.194, -49.861
340.210, 62.187, -49.858
340.576, 62.181, -49.854
340.942, 62.175, -49.850
341.309, 62.169, -49.846
341.675, 62.162, -49.843
342.041, 62.156, -49.840
342.407, 62.150, -49.836
342.773, 62.143, -49.832
343.140, 62.137, -49.828
343.506, 62.131, -49.824
343.872, 62.125, -49.820
344.238, 62.118, -49.817
344.604, 62.112, -49.813
344.971, 62.106, -49.808
345.337, 62.099, -49.803
345.703, 62.093, -49.800
346.069, 62.087, -49.798
346.436, 62.081, -49.797
346.802, 62.075, -49.795
347.168, 62.068, -49.791
347.534, 62.062, -49.786
347.900, 62.057, -49.783
348.267, 62.051, -49.785
348.633, 62.045, -49.792
348.999, 62.038, -49.798
349.365, 62.030, -49.798
349.731, 62.022, -49.788
350.098, 62.015, -49.771
350.464, 62.010, -49.754
350.830, 62.006, -49.743
351.196, 62.001, -49.741
351.562, 61.996, -49.743
351.929, 61.990, -49.745
352.295, 61.984, -49.742
352.661, 61.978, -49.736
353.027, 61.972, -49.729
353.394, 61.966, -49.724
353.760, 61.961, -49.721
354.126, 61.955, -49.719
354.492, 61.949, -49.716
354.858, 61.943, -49.711
355.225, 61.937, -49.704
355.591, 61.931, -49.698
355.957, 61.925, -49.694
356.323, 61.919, -49.691
356.689, 61.913, -49.689
357.056, 61.907, -49.685
357.422, 61.901, -49.679
357.788, 61.895, -49.674
358.154, 61.890, -49.670
358.521, 61.884, -49.666
358.887, 61.878, -49.663
359.253, 61.872, -49.660
359.619, 61.866, -49.656
359.985, 61.860, -49.652
360.352, 61.854, -49.647
360.718, 61.849, -49.643
361.084, 61.843, -49.639
361.450, 61.837, -49.635
361.816, 61.831, -49.631
362.183, 61.826, -49.626
362.549, 61.820, -49.622
362.915, 61.814, -49.617
363.281, 61.809, -49.612
363.647, 61.803, -49.608
364.014, 61.798, -49.605
364.380, 61.792, -49.601
364.746, 61.786, -49.598
365.112, 61.780, -49.594
365.479, 61.775, -49.590
365.845, 61.769, -49.586
366.211, 61.763, -49.581
366.577, 61.757, -49.576
366.943, 61.752, -49.571
367.310, 61.746, -49.567
367.676, 61.741, -49.563
368.042, 61.735, -49.559
368.408, 61.730, -49.555
368.774, 61.724, -49.551
369.141, 61.718, -49.547
369.507, 61.713, -49.543
369.873, 61.707, -49.539
370.239, 61.702, -49.534
370.605, 61.696, -49.530
370.972, 61.691, -49.526
371.338, 61.685, -49.522
371.704, 61.679, -49.518
372.070, 61.674, -49.513
372.437, 61.668, -49.509
372.803, 61.663, -49.504
373.169, 61.658, -49.500
