Freq(Hz), SPL(dB), Phase(degrees)
257.812, 63.977, -50.342
258.179, 63.968, -50.345
258.545, 63.958, -50.348
258.911, 63.949, -50.350
259.277, 63.940, -50.352
259.644, 63.931, -50.354
260.010, 63.922, -50.357
260.376, 63.913, -50.360
260.742, 63.903, -50.363
261.108, 63.894, -50.366
261.475, 63.885, -50.368
261.841, 63.876, -50.370
262.207, 63.867, -50.372
262.573, 63.858, -50.375
262.939, 63.848, -50.378
263.306, 63.839, -50.380
263.672, 63.830, -50.382
264.038, 63.821, -50.383
264.404, 63.812, -50.385
264.771, 63.803, -50.387
265.137, 63.794, -50.390
265.503, 63.785, -50.392
265.869, 63.776, -50.394
266.235, 63.767, -50.396
266.602, 63.759, -50.398
266.968, 63.750, -50.400
267.334, 63.741, -50.402
267.700, 63.732, -50.405
268.066, 63.723, -50.406
268.433, 63.714, -50.407
268.799, 63.705, -50.408
269.165, 63.696, -50.409
269.531, 63.687, -50.410
269.897, 63.679, -50.412
270.264, 63.670, -50.414
270.630, 63.661, -50.415
270.996, 63.652, -50.417
271.362, 63.644, -50.418
271.729, 63.635, -50.419
272.095, 63.626, -50.420
272.461, 63.618, -50.421
272.827, 63.609, -50.422
273.193, 63.600, -50.423
273.560, 63.592, -50.423
273.926, 63.583, -50.423
274.292, 63.575, -50.424
274.658, 63.566, -50.425
275.024, 63.558, -50.426
275.391, 63.549, -50.427
275.757, 63.540, -50.428
276.123, 63.532, -50.429
276.489, 63.523, -50.430
276.855, 63.515, -50.430
277.222, 63.506, -50.431
277.588, 63.498, -50.432
277.954, 63.489, -50.433
278.320, 63.481, -50.433
278.687, 63.472, -50.432
279.053, 63.464, -50.432
279.419, 63.456, -50.433
279.785, 63.447, -50.433
280.151, 63.439, -50.434
280.518, 63.431, -50.434
280.884, 63.422, -50.434
281.250, 63.414, -50.434
281.616, 63.406, -50.434
281.982, 63.397, -50.433
282.349, 63.389, -50.433
282.715, 63.381, -50.433
283.081, 63.373, -50.434
283.447, 63.365, -50.434
283.813, 63.356, -50.434
284.180, 63.348, -50.434
284.546, 63.340, -50.434
284.912, 63.332, -50.433
285.278, 63.324, -50.433
285.645, 63.316, -50.432
286.011, 63.307, -50.432
286.377, 63.299, -50.432
286.743, 63.291, -50.432
287.109, 63.283, -50.431
287.476, 63.275, -50.430
287.842, 63.267, -50.430
288.208, 63.259, -50.429
288.574, 63.251, -50.429
288.940, 63.243, -50.429
289.307, 63.235, -50.428
289.673, 63.227, -50.427
290.039, 63.219, -50.426
290.405, 63.211, -50.425
290.771, 63.203, -50.425
291.138, 63.195, -50.424
291.504, 63.187, -50.424
291.870, 63.179, -50.423
292.236, 63.171, -50.422
292.603, 63.163, -50.421
292.969, 63.156, -50.420
293.335, 63.148, -50.419
293.701, 63.140, -50.419
294.067, 63.132, -50.418
294.434, 63.124, -50.416
294.800, 63.116, -50.415
295.166, 63.109, -50.413
295.532, 63.101, -50.412
295.898, 63.093, -50.411
296.265, 63.086, -50.410
296.631, 63.078, -50.408
296.997, 63.070, -50.407
297.363, 63.062, -50.405
297.729, 63.055, -50.404
298.096, 63.047, -50.404
298.462, 63.039, -50.402
298.828, 63.031, -50.399
299.194, 63.023, -50.395
299.561, 63.016, -50.390
299.927, 63.009, -50.387
300.293, 63.002, -50.386
300.659, 62.994, -50.387
301.025, 62.987, -50.389
301.392, 62.979, -50.390
301.758, 62.971, -50.389
302.124, 62.963, -50.387
302.490, 62.956, -50.384
302.856, 62.948, -50.381
303.223, 62.941, -50.380
303.589, 62.933, -50.378
303.955, 62.926, -50.377
304.321, 62.918, -50.376
304.688, 62.911, -50.375
305.054, 62.903, -50.373
305.420, 62.896, -50.372
305.786, 62.888, -50.370
306.152, 62.881, -50.368
306.519, 62.874, -50.365
306.885, 62.866, -50.362
307.251, 62.859, -50.360
307.617, 62.852, -50.359
307.983, 62.845, -50.357
308.350, 62.837, -50.356
308.716, 62.830, -50.355
309.082, 62.823, -50.352
309.448, 62.815, -50.349
309.814, 62.808, -50.346
310.181, 62.801, -50.343
310.547, 62.794, -50.341
310.913, 62.786, -50.339
311.279, 62.779, -50.337
311.646, 62.772, -50.334
312.012, 62.765, -50.332
312.378, 62.758, -50.329
312.744, 62.750, -50.326
313.110, 62.743, -50.324
313.477, 62.736, -50.322
313.843, 62.729, -50.320
314.209, 62.722, -50.317
314.575, 62.715, -50.315
314.941, 62.708, -50.313
315.308, 62.701, -50.312
315.674, 62.694, -50.309
316.040, 62.686, -50.306
316.406, 62.679, -50.303
316.772, 62.672, -50.299
317.139, 62.665, -50.296
317.505, 62.659, -50.294
317.871, 62.652, -50.292
318.237, 62.645, -50.290
318.604, 62.638, -50.288
318.970, 62.630, -50.285
319.336, 62.623, -50.282
319.702, 62.616, -50.278
320.068, 62.610, -50.275
320.435, 62.603, -50.272
320.801, 62.596, -50.269
321.167, 62.589, -50.266
321.533, 62.582, -50.263
321.899, 62.575, -50.260
322.266, 62.568, -50.257
322.632, 62.561, -50.255
322.998, 62.555, -50.252
323.364, 62.548, -50.250
323.730, 62.541, -50.247
324.097, 62.534, -50.243
324.463, 62.527, -50.240
324.829, 62.520, -50.237
325.195, 62.514, -50.235
325.562, 62.507, -50.232
325.928, 62.500, -50.230
326.294, 62.493, -50.226
326.660, 62.486, -50.222
327.026, 62.480, -50.218
327.393, 62.473, -50.214
327.759, 62.467, -50.211
328.125, 62.460, -50.209
328.491, 62.453, -50.207
328.857, 62.447, -50.204
329.224, 62.440, -50.200
329.590, 62.433, -50.197
329.956, 62.427, -50.193
330.322, 62.420, -50.190
330.688, 62.413, -50.187
331.055, 62.407, -50.184
331.421, 62.400, -50.181
331.787, 62.393, -50.177
332.153, 62.387, -50.172
332.520, 62.380, -50.168
332.886, 62.374, -50.165
333.252, 62.368, -50.163
333.618, 62.361, -50.161
333.984, 62.354, -50.158
334.351, 62.348, -50.155
334.717, 62.341, -50.151
335.083, 62.335, -50.147
335.449, 62.328, -50.144
335.815, 62.322, -50.141
336.182, 62.315, -50.138
336.548, 62.309, -50.134
336.914, 62.302, -50.130
337.280, 62.296, -50.126
337.646, 62.290, -50.122
338.013, 62.283, -50.118
338.379, 62.277, -50.115
338.745, 62.270, -50.110
339.111, 62.264, -50.106
339.478, 62.258, -50.102
339.844, 62.252, -50.098
340.210, 62.245, -50.095
340.576, 62.239, -50.092
340.942, 62.233, -50.089
341.309, 62.226, -50.085
341.675, 62.220, -50.081
342.041, 62.214, -50.077
342.407, 62.207, -50.074
342.773, 62.201, -50.070
343.140, 62.195, -50.068
343.506, 62.189, -50.065
343.872, 62.182, -50.061
344.238, 62.176, -50.057
344.604, 62.170, -50.052
344.971, 62.164, -50.048
345.337, 62.158, -50.045
345.703, 62.152, -50.042
346.069, 62.145, -50.039
346.436, 62.139, -50.034
346.802, 62.133, -50.028
347.168, 62.127, -50.023
347.534, 62.121, -50.019
347.900, 62.115, -50.017
348.267, 62.109, -50.014
348.633, 62.102, -50.007
348.999, 62.095, -49.996
